filename,id,date,host,short_title,title,date_short
doc_446365.txt,10663,2017-05-20,,IKEA To Move More Pr,IKEA To Move More Production To United Kingdom After Brexit,2017-05
doc_561769.txt,10664,2017-04-21,www.infowars.com,,,2017-04
doc_687728.txt,10665,2017-08-02,www.independent.co.uk,donald trump us uk t,donald trump us uk trade deal word britain president brexit eu tariffs exports imports a7872176.html,2017-08
doc_696738.txt,10666,2017-03-02,www.msn.com:80,ar AAnEVDe,ar AAnEVDe,2017-03
doc_618302.txt,10667,2017-04-03,sg.news.yahoo.com,eu financial centres,eu financial centres vie poach 053014773.html,2017-04
doc_700050.txt,10668,2017-03-02,www.express.co.uk.,brexit germans vote ,brexit germans vote leave european union stupid spd martin schulz,2017-03
doc_445573.txt,10669,2017-05-20,,BREXIT: Brussels wan,BREXIT: Brussels wants Britain ‘to pay for its £55BILLION pensions pot’ | World | News | Express.co.uk,2017-05
doc_121227.txt,10670,2017-05-30,www.irishtimes.com,fintan o toole aib s,fintan o toole aib sale shows a servile attitude to the eu 1.3100379,2017-05
doc_419721.txt,10671,2017-03-24,www.express.co.uk.,more americans visit,more americans visit uk,2017-03
doc_816945.txt,10672,2017-02-21,www.express.co.uk.,Lords delay Brexit d,Lords delay Brexit demanding UK remain single market EU Article 50,2017-02
doc_682513.txt,10673,2017-03-28,www.washingtonpost.com,82b28664 08da 11e7 b,82b28664 08da 11e7 bd19 fd3afa0f7e2a_story.html,2017-03
doc_344842.txt,10674,2017-05-09,,Five reasons Emmanue,Five reasons Emmanuel Macron’s EU love in cannot lastPremium Promo,2017-05
doc_250002.txt,10675,2017-06-10,independentaustralia.net,the british media vs,"the british media vs jeremy corbyn and the people,10378?cachebreak=1",2017-06
doc_563014.txt,10676,2017-04-21,www.express.co.uk,labour party Emily T,labour party Emily Thornberry blasts Theresa May backing extreme Brexit general election,2017-04
doc_333991.txt,10677,2017-04-15,www.travelwithpenelopeandparker.com,,,2017-04
doc_381880.txt,10678,2017-06-07,www.irishtimes.com,alex kane border pol,alex kane border poll the election goal for sdlp and sinn féin 1.3109653,2017-06
doc_73307.txt,10679,2017-03-21,www.express.co.uk,pound usd exchange r,pound usd exchange rate brexit,2017-03
doc_280672.txt,10680,2017-06-26,www.independent.co.uk,archbishop of canter,archbishop of canterbury justin welby brexit theresa may cross party commission a7807131.html,2017-06
doc_593633.txt,10681,2017-02-24,www.thisisanfield.com,,,2017-02
doc_517965.txt,10682,2017-04-24,ww2.kqed.org,,,2017-04
doc_112882.txt,10683,2017-06-01,www.thisismoney.co.uk,NHS faces 1bn bill e,NHS faces 1bn bill expat care post Brexit study says.html,2017-06
doc_582843.txt,10684,2017-02-24,www.buzzfeed.com,heres how paul nutta,heres how paul nuttalls challenge for stoke fell to pieces,2017-02
doc_79611.txt,10685,2017-03-21,www.express.co.uk,Britain wont get fre,Britain wont get free trade deal United States Donald Trump Brexit,2017-03
doc_459591.txt,10686,2017-03-08,www.express.co.uk,snp jim sillars vote,snp jim sillars vote no second independence referendum brexit rejoining european union,2017-03
doc_781219.txt,10687,2017-04-04,www.express.co.uk.,Labour Party Jeremy ,Labour Party Jeremy Corbyn fumes after awkward radio interview council elections,2017-04
doc_323643.txt,10688,2017-03-15,dailymail.co.uk,Prince William video,Prince William videoed showing dad dancing moves.html,2017-03
doc_780756.txt,10689,2017-04-04,uk.weather.yahoo.com,british police charg,british police charge 13 people over attack asylum 103917914.html,2017-04
